product_index,sku_code,design_nr,category,size,color
197,BL100-M,BL100,BLOUSE,M,Green
198,BL100-S,BL100,BLOUSE,S,Green
199,BL100-XL,BL100,BLOUSE,XL,Green
200,BL100-XS,BL100,BLOUSE,XS,Green
201,BL100-XXL,BL100,BLOUSE,XXL,Green
202,BL101-L,BL101,BLOUSE,L,Grey
203,BL101-M,BL101,BLOUSE,M,Grey
204,BL101-S,BL101,BLOUSE,S,Grey
205,BL101-XL,BL101,BLOUSE,XL,Grey
206,BL101-XS,BL101,BLOUSE,XS,Grey
207,BL101-XXL,BL101,BLOUSE,XXL,Grey
208,BL102,BL102,BLOUSE,FREE,Navy Blue
209,BL102-L,BL102,BLOUSE,L,Navy Blue
210,BL102-M,BL102,BLOUSE,M,Navy Blue
211,BL102-S,BL102,BLOUSE,S,Navy Blue
212,BL102-XL,BL102,BLOUSE,XL,Navy Blue
213,BL102-XS,BL102,BLOUSE,XS,Navy Blue
214,BL102-XXL,BL102,BLOUSE,XXL,Navy Blue
215,BL103-L,BL103,BLOUSE,L,Maroon
216,BL103-M,BL103,BLOUSE,M,Maroon
217,BL103-S,BL103,BLOUSE,S,Maroon
218,BL103-XL,BL103,BLOUSE,XL,Maroon
219,BL103-XS,BL103,BLOUSE,XS,Maroon
220,BL103-XXL,BL103,BLOUSE,XXL,Maroon
221,BL104-L,BL104,BLOUSE,L,Black
222,BL104-M,BL104,BLOUSE,M,Black
223,BL104-S,BL104,BLOUSE,S,Black
224,BL104-XL,BL104,BLOUSE,XL,Black
225,BL104-XS,BL104,BLOUSE,XS,Black
226,BL104-XXL,BL104,BLOUSE,XXL,Black
227,BL107-L,BL107,BLOUSE,L,White
228,BL107-M,BL107,BLOUSE,M,White
229,BL107-S,BL107,BLOUSE,S,White
230,BL107-XL,BL107,BLOUSE,XL,White
231,BL107-XS,BL107,BLOUSE,XS,White
232,BL107-XXL,BL107,BLOUSE,XXL,White
233,BL109,BL109,BLOUSE,FREE,Gold
234,BL109-L,BL109,BLOUSE,L,Gold
235,BL109-M,BL109,BLOUSE,M,Gold
236,BL109-S,BL109,BLOUSE,S,Gold
237,BL109-XL,BL109,BLOUSE,XL,Gold
238,BL109-XS,BL109,BLOUSE,XS,Gold
239,BL109-XXL,BL109,BLOUSE,XXL,Gold
240,BL110-L,BL110,BLOUSE,L,Red
241,BL110-M,BL110,BLOUSE,M,Red
242,BL110-S,BL110,BLOUSE,S,Red
243,BL110-XL,BL110,BLOUSE,XL,Red
244,BL110-XS,BL110,BLOUSE,XS,Red
245,BL110-XXL,BL110,BLOUSE,XXL,Red
246,BL111-L,BL111,BLOUSE,L,Black
247,BL111-M,BL111,BLOUSE,M,Black
248,BL111-S,BL111,BLOUSE,S,Black
249,BL111-XL,BL111,BLOUSE,XL,Black
250,BL111-XS,BL111,BLOUSE,XS,Black
251,BL111-XXL,BL111,BLOUSE,XXL,Black
252,BL113-L,BL113,BLOUSE,L,Maroon
253,BL113-M,BL113,BLOUSE,M,Maroon
254,BL113-S,BL113,BLOUSE,S,Maroon
255,BL113-XL,BL113,BLOUSE,XL,Maroon
256,BL113-XS,BL113,BLOUSE,XS,Maroon
257,BL113-XXL,BL113,BLOUSE,XXL,Maroon
258,BL113-XXXL,BL113,BLOUSE,XXXL,Maroon
259,BL0115-S,BL115,BLOUSE,S,Olive
260,BTM002-L,BTM002,PANT,L,White
261,BTM002-M,BTM002,PANT,M,White
262,BTM002-S,BTM002,PANT,S,White
263,BTM002-XL,BTM002,PANT,XL,White
264,BTM002-XS,BTM002,PANT,XS,White
265,BTM002-XXL,BTM002,PANT,XXL,White
266,BTM002-XXXL,BTM002,PANT,XXXL,White
267,BTM003-L,BTM003,PANT,L,Maroon
268,BTM003-M,BTM003,PANT,M,Maroon
269,BTM003-S,BTM003,PANT,S,Maroon
270,BTM003-XL,BTM003,PANT,XL,Maroon
271,BTM003-XS,BTM003,PANT,XS,Maroon
272,BTM003-XXL,BTM003,PANT,XXL,Maroon
273,BTM003-XXXL,BTM003,PANT,XXXL,Maroon
274,BTM004-L,BTM004,BOTTOM,L,White
275,BTM004-S,BTM004,BOTTOM,S,White
276,BTM004-XL,BTM004,BOTTOM,XL,White
277,BTM004-XS,BTM004,BOTTOM,XS,White
278,BTM004-XXL,BTM004,BOTTOM,XXL,White
279,BTM004-XXXL,BTM004,BOTTOM,XXXL,White
280,BTM005-L,BTM005,PANT,L,Black
281,BTM005-M,BTM005,PANT,M,Black
282,BTM005-S,BTM005,PANT,S,Black
283,BTM005-XL,BTM005,PANT,XL,Black
284,BTM005-XS,BTM005,PANT,XS,Black
285,BTM005-XXL,BTM005,PANT,XXL,Black
286,BTM005-XXXL,BTM005,PANT,XXXL,Black
287,BTM006-L,BTM006,BOTTOM,L,Green
288,BTM006-M,BTM006,BOTTOM,M,Green
289,BTM006-S,BTM006,BOTTOM,S,Green
290,BTM006-XL,BTM006,BOTTOM,XL,Green
291,BTM006-XS,BTM006,BOTTOM,XS,Green
292,BTM006-XXL,BTM006,BOTTOM,XXL,Green
293,BTM006-XXXL,BTM006,BOTTOM,XXXL,Green
294,BTM007-L,BTM007,BOTTOM,L,Beige
295,BTM007-M,BTM007,BOTTOM,M,Beige
296,BTM007-S,BTM007,BOTTOM,S,Beige
297,BTM007-XL,BTM007,BOTTOM,XL,Beige
298,BTM007-XS,BTM007,BOTTOM,XS,Beige
299,BTM007-XXL,BTM007,BOTTOM,XXL,Beige
300,BTM008-L,BTM008,PANT,L,Grey
301,BTM008-M,BTM008,PANT,M,Grey
302,BTM008-S,BTM008,PANT,S,Grey
303,BTM008-XL,BTM008,PANT,XL,Grey
304,BTM008-XS,BTM008,PANT,XS,Grey
305,BTM008-XXL,BTM008,PANT,XXL,Grey
306,BTM008-XXXL,BTM008,PANT,XXXL,Grey
307,BTM021-L,BTM021,PANT,L,Navy Blue
308,BTM021-M,BTM021,PANT,M,Navy Blue
309,BTM021-S,BTM021,PANT,S,Navy Blue
310,BTM021-XL,BTM021,PANT,XL,Navy Blue
311,BTM021-XS,BTM021,PANT,XS,Navy Blue
312,BTM021-XXL,BTM021,PANT,XXL,Navy Blue
313,BTM021-XXXL,BTM021,PANT,XXXL,Navy Blue
314,BTM026-NP-L,BTM026,PANT,L,Red
315,BTM026-NP-M,BTM026,PANT,M,Red
316,BTM026-NP-S,BTM026,PANT,S,Red
317,BTM026-NP-XL,BTM026,PANT,XL,Red
318,BTM026-NP-XS,BTM026,PANT,XS,Red
319,BTM026-NP-XXL,BTM026,PANT,XXL,Red
320,BTM026-NP-XXXL,BTM026,PANT,XXXL,Red
321,BTM027-NP-L,BTM027,PANT,L,Green
322,BTM027-NP-M,BTM027,PANT,M,Green
323,BTM027-NP-S,BTM027,PANT,S,Green
324,BTM027-NP-XL,BTM027,PANT,XL,Green
325,BTM027-NP-XS,BTM027,PANT,XS,Green
326,BTM027-NP-XXL,BTM027,PANT,XXL,Green
327,BTM027-NP-XXXL,BTM027,PANT,XXXL,Green
328,BTM029-NP-L,BTM029,PANT,L,Beige
329,BTM029-NP-M,BTM029,PANT,M,Beige
330,BTM029-NP-S,BTM029,PANT,S,Beige
331,BTM029-NP-XL,BTM029,PANT,XL,Beige
332,BTM029-NP-XS,BTM029,PANT,XS,Beige
333,BTM029-NP-XXL,BTM029,PANT,XXL,Beige
334,BTM029-NP-XXXL,BTM029,PANT,XXXL,Beige
335,BTM030-NP-L,BTM030,PANT,L,Dark Green
336,BTM030-NP-M,BTM030,PANT,M,Dark Green
337,BTM030-NP-S,BTM030,PANT,S,Dark Green
338,BTM030-NP-XL,BTM030,PANT,XL,Dark Green
339,BTM030-NP-XS,BTM030,PANT,XS,Dark Green
340,BTM030-NP-XXL,BTM030,PANT,XXL,Dark Green
341,BTM030-NP-XXXL,BTM030,PANT,XXXL,Dark Green
342,BTM031-NP-L,BTM031,PANT,L,Brown
343,BTM031-NP-M,BTM031,PANT,M,Brown
344,BTM031-NP-S,BTM031,PANT,S,Brown
345,BTM031-NP-XL,BTM031,PANT,XL,Brown
346,BTM031-NP-XS,BTM031,PANT,XS,Brown
347,BTM031-NP-XXL,BTM031,PANT,XXL,Brown
348,BTM031-NP-XXXL,BTM031,PANT,XXXL,Brown
349,BTM032-NP-L,BTM032,PANT,L,Pink
350,BTM032-NP-M,BTM032,PANT,M,Pink
351,BTM032-NP-S,BTM032,PANT,S,Pink
352,BTM032-NP-XL,BTM032,PANT,XL,Pink
353,BTM032-NP-XS,BTM032,PANT,XS,Pink
354,BTM032-NP-XXL,BTM032,PANT,XXL,Pink
355,BTM032-NP-XXXL,BTM032,PANT,XXXL,Pink
356,BTM033-NP-L,BTM033,PANT,L,Turquoise Blue
357,BTM033-NP-M,BTM033,PANT,M,Turquoise Blue
358,BTM033-NP-S,BTM033,PANT,S,Turquoise Blue
359,BTM033-NP-XL,BTM033,PANT,XL,Turquoise Blue
360,BTM033-NP-XS,BTM033,PANT,XS,Turquoise Blue
361,BTM033-NP-XXL,BTM033,PANT,XXL,Turquoise Blue
362,BTM033-NP-XXXL,BTM033,PANT,XXXL,Turquoise Blue
363,BTM035-NP-L,BTM035,PANT,L,Mustard
364,BTM035-NP-M,BTM035,PANT,M,Mustard
365,BTM035-NP-S,BTM035,PANT,S,Mustard
366,BTM035-NP-XL,BTM035,PANT,XL,Mustard
367,BTM035-NP-XS,BTM035,PANT,XS,Mustard
368,BTM035-NP-XXL,BTM035,PANT,XXL,Mustard
369,BTM035-NP-XXXL,BTM035,PANT,XXXL,Mustard
370,BTM036-PP-L,BTM036,PALAZZO,L,Red
371,BTM036-PP-M,BTM036,PALAZZO,M,Red
372,BTM036-PP-S,BTM036,PALAZZO,S,Red
373,BTM036-PP-XL,BTM036,PALAZZO,XL,Red
374,BTM036-PP-XS,BTM036,PALAZZO,XS,Red
375,BTM036-PP-XXL,BTM036,PALAZZO,XXL,Red
376,BTM036-PP-XXXL,BTM036,PALAZZO,XXXL,Red
377,BTM037-PP-L,BTM037,PALAZZO,L,Teal
378,BTM037-PP-M,BTM037,PALAZZO,M,Teal
379,BTM037-PP-S,BTM037,PALAZZO,S,Teal
380,BTM037-PP-XL,BTM037,PALAZZO,XL,Teal
381,BTM037-PP-XS,BTM037,PALAZZO,XS,Teal
382,BTM037-PP-XXL,BTM037,PALAZZO,XXL,Teal
383,BTM037-PP-XXXL,BTM037,PALAZZO,XXXL,Teal
384,BTM038-PP-L,BTM038,PALAZZO,L,Black
385,BTM038-PP-M,BTM038,PALAZZO,M,Black
386,BTM038-PP-S,BTM038,PALAZZO,S,Black
387,BTM038-PP-XL,BTM038,PALAZZO,XL,Black
388,BTM038-PP-XS,BTM038,PALAZZO,XS,Black
389,BTM038-PP-XXL,BTM038,PALAZZO,XXL,Black
390,BTM038-PP-XXXL,BTM038,PALAZZO,XXXL,Black
391,BTM039-PP-L,BTM039,PALAZZO,L,White
392,BTM039-PP-M,BTM039,PALAZZO,M,White
393,BTM039-PP-S,BTM039,PALAZZO,S,White
394,BTM039-PP-XL,BTM039,PALAZZO,XL,White
395,BTM039-PP-XS,BTM039,PALAZZO,XS,White
396,BTM039-PP-XXL,BTM039,PALAZZO,XXL,White
397,BTM039-PP-XXXL,BTM039,PALAZZO,XXXL,White
398,BTM040-PP-L,BTM040,PALAZZO,L,Brown
399,BTM040-PP-M,BTM040,PALAZZO,M,Brown
400,BTM040-PP-S,BTM040,PALAZZO,S,Brown
401,BTM040-PP-XL,BTM040,PALAZZO,XL,Brown
402,BTM040-PP-XS,BTM040,PALAZZO,XS,Brown
403,BTM040-PP-XXL,BTM040,PALAZZO,XXL,Brown
404,BTM040-PP-XXXL,BTM040,PALAZZO,XXXL,Brown
405,BTM041-PP-L,BTM041,PALAZZO,L,Grey
406,BTM041-PP-M,BTM041,PALAZZO,M,Grey
407,BTM041-PP-S,BTM041,PALAZZO,S,Grey
408,BTM041-PP-XL,BTM041,PALAZZO,XL,Grey
409,BTM041-PP-XS,BTM041,PALAZZO,XS,Grey
410,BTM041-PP-XXL,BTM041,PALAZZO,XXL,Grey
411,BTM041-PP-XXXL,BTM041,PALAZZO,XXXL,Grey
412,BTM042-PP-L,BTM042,PALAZZO,L,Mustard
413,BTM042-PP-M,BTM042,PALAZZO,M,Mustard
414,BTM042-PP-S,BTM042,PALAZZO,S,Mustard
415,BTM042-PP-XL,BTM042,PALAZZO,XL,Mustard
416,BTM042-PP-XS,BTM042,PALAZZO,XS,Mustard
417,BTM042-PP-XXL,BTM042,PALAZZO,XXL,Mustard
418,BTM042-PP-XXXL,BTM042,PALAZZO,XXXL,Mustard
419,BTM043-PP-L,BTM043,PALAZZO,L,Khaki
420,BTM043-PP-M,BTM043,PALAZZO,M,Khaki
421,BTM043-PP-S,BTM043,PALAZZO,S,Khaki
422,BTM043-PP-XL,BTM043,PALAZZO,XL,Khaki
423,BTM043-PP-XS,BTM043,PALAZZO,XS,Khaki
424,BTM043-PP-XXL,BTM043,PALAZZO,XXL,Khaki
425,BTM043-PP-XXXL,BTM043,PALAZZO,XXXL,Khaki
426,BTM044-PP-L,BTM044,PALAZZO,L,Maroon
427,BTM044-PP-M,BTM044,PALAZZO,M,Maroon
428,BTM044-PP-S,BTM044,PALAZZO,S,Maroon
429,BTM044-PP-XL,BTM044,PALAZZO,XL,Maroon
430,BTM044-PP-XS,BTM044,PALAZZO,XS,Maroon
431,BTM044-PP-XXL,BTM044,PALAZZO,XXL,Maroon
432,BTM044-PP-XXXL,BTM044,PALAZZO,XXXL,Maroon
433,BTM045-PP-L,BTM045,PALAZZO,L,Olive Green
434,BTM045-PP-M,BTM045,PALAZZO,M,Olive Green
435,BTM045-PP-S,BTM045,PALAZZO,S,Olive Green
436,BTM045-PP-XL,BTM045,PALAZZO,XL,Olive Green
437,BTM045-PP-XS,BTM045,PALAZZO,XS,Olive Green
438,BTM045-PP-XXL,BTM045,PALAZZO,XXL,Olive Green
439,BTM045-PP-XXXL,BTM045,PALAZZO,XXXL,Olive Green
440,BTM046-PP-L,BTM046,PALAZZO,L,Navy Blue
441,BTM046-PP-M,BTM046,PALAZZO,M,Navy Blue
442,BTM046-PP-S,BTM046,PALAZZO,S,Navy Blue
443,BTM046-PP-XL,BTM046,PALAZZO,XL,Navy Blue
444,BTM046-PP-XS,BTM046,PALAZZO,XS,Navy Blue
445,BTM046-PP-XXL,BTM046,PALAZZO,XXL,Navy Blue
446,BTM046-PP-XXXL,BTM046,PALAZZO,XXXL,Navy Blue
447,BTM047-PP-L,BTM047,PALAZZO,L,Pink
448,BTM047-PP-M,BTM047,PALAZZO,M,Pink
449,BTM047-PP-S,BTM047,PALAZZO,S,Pink
450,BTM047-PP-XL,BTM047,PALAZZO,XL,Pink
451,BTM047-PP-XS,BTM047,PALAZZO,XS,Pink
452,BTM047-PP-XXL,BTM047,PALAZZO,XXL,Pink
453,BTM047-PP-XXXL,BTM047,PALAZZO,XXXL,Pink
454,BTM048-PP-L,BTM048,PALAZZO,L,Green
455,BTM048-PP-M,BTM048,PALAZZO,M,Green
456,BTM048-PP-S,BTM048,PALAZZO,S,Green
457,BTM048-PP-XL,BTM048,PALAZZO,XL,Green
458,BTM048-PP-XS,BTM048,PALAZZO,XS,Green
459,BTM048-PP-XXL,BTM048,PALAZZO,XXL,Green
460,BTM048-PP-XXXL,BTM048,PALAZZO,XXXL,Green
461,BTM049-SHA-L,BTM049,SHARARA,L,TEAL BLUE 
462,BTM049-SHA-M,BTM049,SHARARA,M,TEAL BLUE 
463,BTM049-SHA-S,BTM049,SHARARA,S,TEAL BLUE 
464,BTM049-SHA-XL,BTM049,SHARARA,XL,TEAL BLUE 
465,BTM049-SHA-XXL,BTM049,SHARARA,XXL,TEAL BLUE 
466,BTM050-SHA-L,BTM050,SHARARA,L,Cream
467,BTM050-SHA-M,BTM050,SHARARA,M,Cream
468,BTM050-SHA-S,BTM050,SHARARA,S,Cream
